date,up,down,unchanged,limit_up,limit_down,ad_ratio,breadth_pct
2025-04-02,635,298,104,4,1,0.6806002143622722,61.23432979749277
2025-04-07,4,1032,0,0,937,0.0038610038610038,0.3861003861003861
2025-04-08,157,861,19,2,421,0.1542239685658153,15.139826422372227
2025-04-09,24,1009,5,1,472,0.0232333010648596,2.312138728323699
2025-04-10,1023,6,3,795,0,0.9941690962099126,99.1279069767442
2025-04-11,563,424,46,24,2,0.5704154002026343,54.50145208131656
2025-04-14,722,267,46,14,0,0.7300303336703741,69.75845410628018
2025-04-15,983,37,17,59,0,0.9637254901960784,94.7926711668274
2025-04-17,385,527,116,9,1,0.4221491228070175,37.45136186770428
2025-04-18,470,463,99,11,2,0.5037513397642015,45.542635658914726
2025-04-21,109,893,30,4,6,0.1087824351297405,10.562015503875967
2025-04-22,237,717,78,9,1,0.2484276729559748,22.96511627906977
2025-04-23,950,55,26,30,0,0.945273631840796,92.1435499515034
2025-04-24,451,471,101,12,0,0.4891540130151844,44.086021505376344
2025-04-25,816,147,69,16,0,0.8473520249221184,79.06976744186046
2025-04-28,762,194,74,14,0,0.797071129707113,73.98058252427184
2025-04-29,870,118,43,27,0,0.8805668016194332,84.38409311348207
2025-04-30,257,709,72,11,0,0.2660455486542443,24.759152215799617
2025-05-02,841,139,57,24,0,0.8581632653061224,81.09932497589199
2025-05-05,255,737,43,11,9,0.2570564516129032,24.637681159420293
2025-05-06,725,249,60,11,0,0.74435318275154,70.11605415860735
2025-05-07,405,536,93,4,1,0.4303931987247609,39.16827852998066
2025-05-08,728,223,80,12,1,0.7655099894847529,70.61105722599417
2025-05-09,632,316,84,8,0,0.6666666666666666,61.240310077519375
2025-05-12,721,239,76,19,0,0.7510416666666667,69.5945945945946
2025-05-13,508,431,92,9,1,0.5410010649627263,49.272550921435496
2025-05-14,731,232,68,21,0,0.7590861889927311,70.90203685741999
2025-05-15,325,630,78,8,0,0.3403141361256545,31.461761858664083
2025-05-16,527,414,92,12,2,0.5600425079702445,51.0164569215876
2025-05-19,217,760,58,10,1,0.2221084953940634,20.966183574879228
2025-05-20,536,390,108,6,0,0.5788336933045356,51.83752417794971
2025-05-22,220,741,70,6,0,0.2289281997918834,21.33850630455868
2025-05-23,435,478,116,10,1,0.4764512595837897,42.27405247813411
2025-05-26,435,497,102,13,1,0.4667381974248927,42.06963249516441
2025-05-27,186,788,60,8,2,0.190965092402464,17.988394584139265
2025-05-28,307,626,96,3,2,0.3290460878885316,29.834791059280857
2025-05-29,469,463,99,5,1,0.5032188841201717,45.489815712900096
2025-06-02,126,871,32,4,1,0.1263791374122367,12.244897959183673
2025-06-03,414,504,113,8,0,0.4509803921568627,40.15518913676043
2025-06-04,807,158,72,16,0,0.8362694300518134,77.82063645130182
2025-06-05,425,492,115,6,0,0.4634678298800436,41.18217054263566
2025-06-06,471,456,101,6,1,0.5080906148867314,45.81712062256809
2025-06-09,312,604,108,7,2,0.3406113537117904,30.46875
2025-06-10,677,262,83,10,0,0.7209797657082002,66.24266144814091
2025-06-11,497,435,100,10,1,0.5332618025751072,48.15891472868217
2025-06-12,419,484,122,6,0,0.4640088593576966,40.8780487804878
2025-06-13,147,833,42,0,1,0.15,14.383561643835616
2025-06-16,566,364,96,8,0,0.6086021505376344,55.16569200779728
2025-06-17,461,435,133,9,0,0.5145089285714286,44.80077745383868
2025-06-19,93,891,39,5,1,0.0945121951219512,9.090909090909092
2025-06-20,220,754,58,6,0,0.2258726899383983,21.31782945736434
2025-06-23,244,724,62,9,0,0.2520661157024793,23.689320388349515
2025-06-24,916,87,21,17,0,0.913260219341974,89.453125
2025-06-25,484,429,114,9,0,0.5301204819277109,47.127555988315486
2025-06-26,688,250,77,15,0,0.7334754797441365,67.7832512315271
2025-06-27,564,375,89,4,0,0.6006389776357828,54.86381322957199
2025-06-30,186,783,58,3,2,0.1919504643962848,18.111002921129504
2025-07-01,683,245,103,9,1,0.7359913793103449,66.24636275460718
2025-07-02,507,409,101,4,0,0.5534934497816594,49.852507374631266
2025-07-03,716,206,73,6,0,0.7765726681127982,71.95979899497488
2025-07-04,129,856,48,2,1,0.1309644670050761,12.487899322362052
2025-07-07,248,716,57,6,0,0.2572614107883817,24.289911851126348
2025-07-08,232,704,76,5,1,0.2478632478632478,22.92490118577075
2025-07-09,548,354,103,6,0,0.6075388026607539,54.5273631840796
2025-07-10,375,535,85,10,2,0.412087912087912,37.68844221105528
2025-07-11,687,239,95,14,0,0.7419006479481641,67.28697355533791
